# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "2" "-p" "-F" "GFF" "-t" "gene" "-g" "ID" "-a" "analyses/03_annotation/augustus_chr3/augustus_chr3.gff" "-o" "analyses/06_counts/featurecounts_chr3.txt" "analyses/05_expression/mapping/control/Control_1.sorted.bam" "analyses/05_expression/mapping/control/Control_2.sorted.bam" "analyses/05_expression/mapping/control/Control_3.sorted.bam" "analyses/05_expression/mapping/heat_treated/Heat_1.sorted.bam" "analyses/05_expression/mapping/heat_treated/Heat_2.sorted.bam" "analyses/05_expression/mapping/heat_treated/Heat_3.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	analyses/05_expression/mapping/control/Control_1.sorted.bam	analyses/05_expression/mapping/control/Control_2.sorted.bam	analyses/05_expression/mapping/control/Control_3.sorted.bam	analyses/05_expression/mapping/heat_treated/Heat_1.sorted.bam	analyses/05_expression/mapping/heat_treated/Heat_2.sorted.bam	analyses/05_expression/mapping/heat_treated/Heat_3.sorted.bam
g114	contig_103_pilon	629718	634518	+	4801	300	315	440	267	376	286
g115	contig_103_pilon	636638	649440	+	12803	2908	2456	2698	3329	5493	8342
g116	contig_103_pilon	649451	650633	-	1183	76	173	218	286	214	871
g117	contig_103_pilon	650728	652623	+	1896	698	2634	2446	779	851	1567
g118	contig_103_pilon	653183	654423	-	1241	39	33	48	12	6	25
g119	contig_103_pilon	655118	670485	+	15368	3900	4379	3453	1706	1314	1955
g120	contig_103_pilon	671497	674143	-	2647	1704	1580	1816	658	1048	1248
g121	contig_103_pilon	674238	679235	+	4998	5231	2229	2607	1853	2294	3122
g122	contig_103_pilon	679954	682503	-	2550	0	0	0	0	0	0
g123	contig_103_pilon	687684	688453	-	770	0	0	0	0	0	0
g124	contig_103_pilon	693230	697069	-	3840	511	613	674	123	125	290
g125	contig_103_pilon	697164	697972	+	809	10	12	9	9	17	12
g126	contig_103_pilon	698019	702499	-	4481	1057	850	1132	3759	2933	3021
g127	contig_103_pilon	702604	708371	+	5768	23	17	37	70	21	28
g128	contig_103_pilon	708760	709629	-	870	0	0	0	0	0	0
g129	contig_103_pilon	712764	715999	-	3236	0	0	0	0	0	0
g130	contig_103_pilon	717054	718807	+	1754	1673	933	1307	2265	1874	2357
g131	contig_103_pilon	718915	730979	-	12065	1682	2329	2679	1535	344	2151
g132	contig_103_pilon	734364	735319	-	956	7	16	8	16	0	21
g133	contig_103_pilon	735414	741019	+	5606	292	324	307	230	119	338
g134	contig_103_pilon	742576	752529	-	9954	841	859	513	265	227	241
g135	contig_103_pilon	756076	760919	-	4844	341	207	194	318	152	314
g136	contig_103_pilon	762508	765829	-	3322	261	177	111	100	8	179
g137	contig_103_pilon	768804	773721	+	4918	5760	2886	3241	1028	560	910
g138	contig_103_pilon	776995	782559	-	5565	819	810	823	723	626	1048
g139	contig_103_pilon	784584	785978	+	1395	0	0	0	0	0	0
g140	contig_103_pilon	788874	813878	+	25005	0	0	0	2	0	0
g141	contig_103_pilon	814517	816869	-	2353	2639	1878	1811	895	1440	1235
g142	contig_103_pilon	817064	819621	+	2558	390	254	235	114	149	136
g143	contig_103_pilon	825114	828266	+	3153	48	12	10	12	79	83
g144	contig_103_pilon	832924	834473	+	1550	0	0	0	0	0	0
g145	contig_103_pilon	839873	856239	-	16367	2654	2066	2244	6845	3283	4414
g146	contig_103_pilon	856864	861336	+	4473	0	0	0	0	0	0
g147	contig_103_pilon	864087	877349	-	13263	0	0	0	0	0	0
g148	contig_103_pilon	883194	884209	+	1016	0	0	0	0	0	0
g149	contig_103_pilon	886831	887981	+	1151	0	0	0	0	0	0
g150	contig_103_pilon	888779	890866	-	2088	52	71	74	64	2	44
g151	contig_103_pilon	892155	899266	-	7112	2059	2263	2467	876	382	2083
g152	contig_103_pilon	903581	907463	+	3883	405	1537	1448	318	276	168
g153	contig_103_pilon	907689	910026	-	2338	571	880	633	277	445	533
g154	contig_103_pilon	910261	911169	+	909	30	46	45	20	31	6
g155	contig_103_pilon	912445	916116	-	3672	0	0	0	0	0	0
g156	contig_103_pilon	916401	918836	+	2436	0	0	0	0	0	0
g157	contig_103_pilon	918932	919906	-	975	0	0	0	0	0	0
g158	contig_103_pilon	920041	925971	+	5931	0	0	0	0	0	0
g159	contig_103_pilon	926033	928256	-	2224	340	1390	1262	208	196	311
g160	contig_103_pilon	928401	931127	+	2727	43	146	115	10	2	10
g161	contig_103_pilon	932031	934890	+	2860	0	13	0	162	67	61
g162	contig_103_pilon	935279	943346	-	8068	360	149	309	4477	2017	933
g163	contig_103_pilon	947701	962588	+	14888	1335	621	1777	7673	3836	2587
g164	contig_103_pilon	962649	966056	-	3408	999	90	69	879	534	1202
g165	contig_103_pilon	966191	981835	+	15645	12555	1107	1327	13991	9990	18358
g166	contig_103_pilon	984151	991217	+	7067	6611	5477	6715	3896	2650	2822
g167	contig_103_pilon	992207	993536	-	1330	2512	2419	3300	3257	3420	3939
g168	contig_103_pilon	994330	998126	-	3797	417	231	228	654	485	693
g169	contig_103_pilon	999151	1001444	+	2294	242596	44391	62312	64222	92698	63735
g170	contig_103_pilon	1001877	1005586	-	3710	68	617	728	71	103	195
g171	contig_103_pilon	1008289	1012496	-	4208	0	0	4	1	0	0
g172	contig_103_pilon	1016117	1019756	-	3640	1088	1554	1903	2905	2843	2491
g173	contig_103_pilon	1029243	1031546	-	2304	3650	2453	4302	4691	3282	2544
g174	contig_103_pilon	1031787	1033496	-	1710	32	48	41	105	101	37
g175	contig_103_pilon	1034461	1038057	+	3597	107	42	39	59	88	193
g176	contig_103_pilon	1040482	1045186	+	4705	3673	658	473	1576	1471	1071
g177	contig_103_pilon	1046162	1054626	+	8465	6474	3441	3415	2438	1546	3704
g178	contig_103_pilon	1055866	1058307	-	2442	861	1127	1477	2420	1617	1670
g179	contig_103_pilon	1059212	1060744	+	1533	191	48	95	50	32	65
g180	contig_103_pilon	1060822	1063840	+	3019	1082	630	531	255	134	508
g181	contig_103_pilon	1065552	1074692	+	9141	1849	3098	3115	4403	1614	3875
g182	contig_103_pilon	1075403	1076947	-	1545	71	52	59	40	54	41
g183	contig_103_pilon	1078092	1079642	+	1551	420	275	354	265	128	315
g184	contig_103_pilon	1079901	1081077	-	1177	4	0	0	45	98	73
g185	contig_103_pilon	1081712	1085730	+	4019	14810	10849	12576	4490	3900	6500
g186	contig_103_pilon	1085932	1099707	-	13776	92510	39100	66462	63610	137509	74414
g187	contig_103_pilon	1099802	1101807	-	2006	40149	5459	7542	8717	8244	22171
g188	contig_103_pilon	1102095	1104187	-	2093	696	1095	1190	245	176	513
g189	contig_103_pilon	1104282	1106291	+	2010	1428	2452	3299	855	1143	1225
g190	contig_103_pilon	1106893	1111817	-	4925	3510	20441	23832	4020	3649	4970
g191	contig_103_pilon	1111912	1114582	+	2671	150	227	119	194	176	169
g192	contig_103_pilon	1115280	1120767	-	5488	518	446	637	1318	908	740
g193	contig_103_pilon	1125802	1129051	+	3250	448	404	393	340	231	791
g194	contig_103_pilon	1129592	1131899	+	2308	44	27	2	16	2	28
g195	contig_103_pilon	1132033	1139107	-	7075	6522	8240	9516	11687	14849	11582
g196	contig_103_pilon	1139212	1140741	+	1530	1494	1430	1759	8815	18276	11147
g197	contig_103_pilon	1140829	1144307	-	3479	316	1287	1466	746	602	587
g198	contig_103_pilon	1144532	1151043	+	6512	48	52	168	124	84	44
g199	contig_103_pilon	1154862	1165795	+	10934	817	1882	2267	1094	807	1187
g200	contig_103_pilon	1165851	1170107	-	4257	4923	9584	17131	9006	10627	6188
g201	contig_103_pilon	1172199	1185687	-	13489	361	473	384	775	579	709
g202	contig_103_pilon	1186132	1195661	+	9530	0	0	0	0	0	1
g203	contig_103_pilon	1197975	1204117	-	6143	314	761	842	215	241	173
g204	contig_103_pilon	1208012	1211935	+	3924	273	297	448	446	381	429
g205	contig_103_pilon	1212025	1217617	-	5593	1364	1875	1775	1687	869	1924
g206	contig_103_pilon	1217862	1224119	+	6258	1536	2056	1894	1539	753	1406
g207	contig_103_pilon	1226435	1229378	-	2944	4411	3795	4217	7091	6603	5328
g208	contig_103_pilon	1230193	1235800	+	5608	34009	10578	11591	9547	10792	13302
g209	contig_103_pilon	1235884	1239068	-	3185	16	21	20	21	19	33
g210	contig_103_pilon	1239173	1259572	+	20400	586	669	527	1003	622	1077
g211	contig_103_pilon	1260085	1264258	-	4174	2423	1747	2440	3417	3179	3059
g212	contig_103_pilon	1265323	1267329	+	2007	0	0	4	10	6	4
g213	contig_103_pilon	1269063	1274578	+	5516	793	2720	3874	228	63	338
g214	contig_103_pilon	1276993	1279345	+	2353	1033	365	237	2151	528	2794
g215	contig_103_pilon	1281500	1282578	-	1079	0	0	0	25	5	0
g216	contig_103_pilon	1283373	1289668	+	6296	2316	1482	1431	518	375	1229
g217	contig_103_pilon	1289964	1298658	-	8695	2274	3170	2284	2131	1613	2632
g218	contig_103_pilon	1298783	1301105	+	2323	378	446	436	340	267	389
g219	contig_103_pilon	1309147	1310068	-	922	38	58	29	14	16	42
g220	contig_103_pilon	1310223	1315724	+	5502	787	874	874	537	154	665
g221	contig_103_pilon	1321636	1326578	-	4943	881	3910	2707	4003	3500	3940
g222	contig_103_pilon	1328453	1333828	-	5376	0	23	10	112	34	154
g223	contig_103_pilon	1338342	1342868	-	4527	0	40	16	14	0	0
g224	contig_103_pilon	1345243	1354206	+	8964	1200	1589	2404	5246	9195	5809
g225	contig_103_pilon	1357445	1363058	-	5614	0	0	0	0	0	0
g226	contig_103_pilon	1363296	1368008	-	4713	0	0	0	0	0	0
g227	contig_103_pilon	1376856	1378468	-	1613	4	0	0	0	0	0
g228	contig_103_pilon	1386614	1392619	-	6006	291	787	1045	489	448	285
g229	contig_103_pilon	1392894	1397611	+	4718	2236	5683	7231	4417	4216	2711
g230	contig_103_pilon	1400381	1401539	-	1159	0	0	0	0	0	4
g231	contig_103_pilon	1403480	1404609	-	1130	3	7	2	3	0	4
g232	contig_103_pilon	1408214	1409814	+	1601	1168	1078	1806	506	285	694
g233	contig_103_pilon	1410424	1413781	+	3358	14341	15823	15419	4308	3959	5797
g234	contig_103_pilon	1415384	1417281	+	1898	0	6	0	9	0	0
g235	contig_103_pilon	1418734	1423162	+	4429	9	35	23	17	0	7
g236	contig_103_pilon	1426663	1428589	-	1927	629	720	681	463	218	476
g237	contig_103_pilon	1428694	1442913	+	14220	2906	3356	3255	4225	5825	5216
g238	contig_103_pilon	1444254	1446944	+	2691	6508	9136	9100	9665	7401	10311
g239	contig_103_pilon	1447030	1450519	-	3490	3	16	1	56	8	40
g240	contig_103_pilon	1451024	1466177	+	15154	3875	3368	3064	3311	1191	3630
g241	contig_103_pilon	1466507	1471769	-	5263	305	676	386	6	22	133
g242	contig_103_pilon	1472322	1475569	-	3248	0	0	4	2	0	0
g243	contig_103_pilon	1476434	1477576	+	1143	0	0	0	0	0	0
g244	contig_103_pilon	1477720	1480189	-	2470	49	42	26	26	5	51
g245	contig_103_pilon	1480267	1481859	-	1593	32	5	18	17	10	3
g246	contig_103_pilon	1482282	1487869	-	5588	325	537	319	291	66	287
g247	contig_103_pilon	1488064	1493293	+	5230	435	401	341	255	301	298
g248	contig_103_pilon	1493438	1498399	-	4962	428	2292	1669	537	669	769
g249	contig_103_pilon	1499203	1500689	-	1487	336	591	459	415	315	657
g250	contig_103_pilon	1500984	1501639	-	656	69	57	103	125	90	70
g251	contig_103_pilon	1501744	1503907	+	2164	191	639	480	352	540	398
g252	contig_103_pilon	1504451	1505659	-	1209	0	0	3	4	0	0
g253	contig_103_pilon	1510394	1511605	+	1212	0	0	0	0	0	1
g254	contig_103_pilon	1514064	1520518	+	6455	2180	10432	10343	7224	6725	3997
g255	contig_103_pilon	1520928	1535309	-	14382	7624	2472	1566	2902	2422	1872
g256	contig_103_pilon	1535394	1539979	-	4586	97	255	244	534	529	553
g257	contig_103_pilon	1542104	1545182	+	3079	121909	11729	25627	119922	172375	117733
g258	contig_103_pilon	1545789	1550479	-	4691	485	382	228	669	312	637
g259	contig_103_pilon	1550674	1561787	+	11114	34	77	82	19	11	110
g260	contig_103_pilon	1561907	1563939	-	2033	276	237	252	106	50	312
g261	contig_103_pilon	1564054	1573398	+	9345	14522	29419	28654	4938	5174	6386
g262	contig_103_pilon	1573485	1578799	-	5315	45	314	299	6	36	87
g263	contig_103_pilon	1581309	1582647	-	1339	0	0	0	0	0	0
g264	contig_103_pilon	1583272	1586573	+	3302	0	0	0	0	0	0
g265	contig_103_pilon	1587322	1594417	-	7096	628	720	771	897	634	1097
g266	contig_103_pilon	1595951	1599167	-	3217	1041	776	806	586	582	556
g267	contig_103_pilon	1601787	1603017	-	1231	0	0	0	0	0	0
g268	contig_103_pilon	1605762	1612914	+	7153	145	254	235	179	128	310
g269	contig_103_pilon	1615178	1615707	-	530	0	0	0	0	0	0
g270	contig_103_pilon	1615912	1622241	+	6330	1434	1543	1832	2583	1846	2730
g271	contig_103_pilon	1623261	1624387	-	1127	2	8	4	6	0	2
g272	contig_103_pilon	1627632	1638859	+	11228	2438	3215	3410	1924	1007	2885
g273	contig_103_pilon	1639027	1649817	-	10791	682	2272	2228	855	516	950
g274	contig_103_pilon	1650002	1652633	+	2632	0	8	0	0	0	4
g275	contig_103_pilon	1653832	1658616	+	4785	0	0	0	2	0	0
g276	contig_103_pilon	1663662	1670275	+	6614	6	42	10	1918	277	321
g277	contig_103_pilon	1671056	1677777	-	6722	2130	2595	3145	3896	3511	2326
g278	contig_103_pilon	1677872	1680436	+	2565	150	183	169	296	252	224
g279	contig_103_pilon	1683314	1685757	-	2444	0	0	0	0	0	0
g280	contig_103_pilon	1698542	1701839	+	3298	0	0	0	0	1	0
g281	contig_103_pilon	1711442	1715044	+	3603	0	0	0	0	3	1
g282	contig_103_pilon	1715602	1719116	+	3515	6	0	0	14	4	8
g283	contig_103_pilon	1720992	1725874	+	4883	58	56	43	4	18	16
g284	contig_103_pilon	1726564	1732537	-	5974	28	48	61	10	0	18
g285	contig_103_pilon	1735569	1738435	+	2867	17	12	15	40	18	54
g286	contig_103_pilon	1738460	1745334	-	6875	280	453	307	219	167	326
g287	contig_103_pilon	1745929	1759618	+	13690	630	12337	2652	561	807	924
g288	contig_103_pilon	1759990	1761824	-	1835	183	359	169	51	16	86
g289	contig_103_pilon	1762533	1775224	-	12692	14091	6421	8386	6900	4716	5004
g290	contig_103_pilon	1775399	1776889	+	1491	128	112	202	34	22	26
g291	contig_103_pilon	1780569	1786622	+	6054	1598	1933	1858	567	407	764
g292	contig_103_pilon	1786749	1797289	+	10541	487	1529	1856	610	432	497
g293	contig_103_pilon	1797645	1806304	-	8660	0	0	0	2	0	0
g294	contig_103_pilon	1810769	1816186	+	5418	1302	431	392	320	266	180
g295	contig_103_pilon	1817259	1823111	+	5853	656	664	668	739	591	1208
g296	contig_103_pilon	1825609	1835900	+	10292	1169	997	1929	1453	484	1523
g297	contig_103_pilon	1839539	1841175	+	1637	0	0	0	0	0	0
g298	contig_103_pilon	1843589	1845416	+	1828	13239	1794	3861	9667	11703	6922
g299	contig_103_pilon	1845441	1855064	-	9624	2540	5459	10606	1273	609	1729
g300	contig_103_pilon	1855199	1860255	+	5057	852	3199	5024	863	799	1152
g301	contig_103_pilon	1861409	1875526	+	14118	11190	9912	12507	18295	16805	12538
g302	contig_103_pilon	1876221	1878084	-	1864	8	16	7	0	0	0
g303	contig_103_pilon	1878521	1886574	-	8054	1171	2198	2391	1859	1889	2569
g304	contig_103_pilon	1886929	1892600	+	5672	0	0	0	0	0	1
g305	contig_103_pilon	1897804	1900964	-	3161	175	407	235	45	65	74
g306	contig_103_pilon	1901449	1905388	+	3940	191	190	177	180	58	247
g307	contig_103_pilon	1905400	1906184	-	785	202	171	170	154	35	244
g308	contig_103_pilon	1906279	1913563	+	7285	1876	1657	1821	1854	713	2699
g309	contig_103_pilon	1913879	1916509	+	2631	0	0	0	0	0	0
g310	contig_103_pilon	1925674	1928232	-	2559	202	252	231	4	34	53
g311	contig_103_pilon	1928397	1941185	+	12789	2198	2352	2369	131	191	607
g312	contig_103_pilon	1941387	1947932	-	6546	41	63	71	2	14	2
g313	contig_103_pilon	1948027	1951450	+	3424	123	1300	742	8	0	22
g314	contig_103_pilon	1953491	1956902	-	3412	19	121	50	11	28	48
g315	contig_103_pilon	1957078	1958262	-	1185	0	0	0	0	0	0
g316	contig_103_pilon	1961088	1976632	-	15545	4241	3025	3154	5783	4424	4422
g317	contig_103_pilon	1976777	1977796	+	1020	46	11	19	65	55	28
g318	contig_103_pilon	1979665	1981082	-	1418	10	10	0	36	11	50
g319	contig_103_pilon	1981177	1982877	+	1701	14	19	2	60	28	104
g320	contig_103_pilon	1982879	1985072	-	2194	1742	1560	1263	616	530	850
g321	contig_103_pilon	1985210	1987342	-	2133	419	331	262	102	71	116
g322	contig_103_pilon	1988187	1989262	-	1076	0	0	0	0	0	0
g323	contig_103_pilon	1998757	1999721	+	965	983	1527	1553	2066	1353	1846
g324	contig_103_pilon	2002717	2003799	+	1083	0	0	0	0	0	0
g325	contig_103_pilon	2012297	2013409	+	1113	0	0	0	0	0	0
g326	contig_103_pilon	2014018	2014912	-	895	0	0	0	0	0	0
g327	contig_103_pilon	2015357	2018442	+	3086	0	0	0	0	0	0
g328	contig_103_pilon	2018526	2027232	-	8707	8	60	49	26	4	65
g329	contig_103_pilon	2027467	2029162	+	1696	0	16	9	0	0	1
g330	contig_103_pilon	2032707	2035544	+	2838	0	0	3	0	0	0
g331	contig_103_pilon	2035635	2039342	-	3708	0	0	0	0	0	0
g332	contig_103_pilon	2041177	2052248	+	11072	0	0	0	0	0	0
g333	contig_103_pilon	2054677	2057978	+	3302	0	0	0	0	0	0
g334	contig_103_pilon	2058157	2062037	+	3881	13	22	42	0	23	6
g335	contig_103_pilon	2062113	2063572	-	1460	63	25	33	4	62	27
g336	contig_103_pilon	2063947	2067364	+	3418	0	1	2	0	0	0
g337	contig_103_pilon	2071237	2073965	+	2729	11103	28828	23689	8571	8713	14769
g338	contig_103_pilon	2076277	2079082	-	2806	1046	2023	1263	584	705	718
g339	contig_103_pilon	2080867	2082052	+	1186	0	0	0	2	0	0
g340	contig_103_pilon	2082265	2084782	-	2518	337	1086	723	580	549	119
g341	contig_103_pilon	2084897	2086531	+	1635	157	429	382	195	218	56
g342	contig_103_pilon	2098412	2100686	+	2275	75	4	14	0	0	0
g343	contig_103_pilon	2100835	2102497	-	1663	214	41	9	0	2	2
