# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "2" "-p" "-F" "GTF" "-t" "exon" "-g" "gene_id" "-a" "analyses/03_annotation/braker3_chr3/braker_output/braker.gtf" "-o" "analyses/06_counts/featurecounts_braker_chr3.txt" "analyses/05_expression/mapping/control/Control_1.sorted.bam" "analyses/05_expression/mapping/control/Control_2.sorted.bam" "analyses/05_expression/mapping/control/Control_3.sorted.bam" "analyses/05_expression/mapping/heat_treated/Heat_1.sorted.bam" "analyses/05_expression/mapping/heat_treated/Heat_2.sorted.bam" "analyses/05_expression/mapping/heat_treated/Heat_3.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	analyses/05_expression/mapping/control/Control_1.sorted.bam	analyses/05_expression/mapping/control/Control_2.sorted.bam	analyses/05_expression/mapping/control/Control_3.sorted.bam	analyses/05_expression/mapping/heat_treated/Heat_1.sorted.bam	analyses/05_expression/mapping/heat_treated/Heat_2.sorted.bam	analyses/05_expression/mapping/heat_treated/Heat_3.sorted.bam
g23	contig_103_pilon	88379	90424	-	2046	59	198	296	5	8	43
g24	contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon	90646;91076;91524;92234	90668;91256;91912;92249	-;-;-;-	609	3	28	9	0	0	0
g25	contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon	96873;96873;97586;97586;98771;98771;99589;99589;99901;100145;101773;101998;102825;103092	97172;97172;97881;97881;99176;99176;99810;99812;100021;100174;101835;102051;102923;103136	-;-;-;-;-;-;-;-;-;-;-;-;-;-	1638	408	702	527	252	134	460
g26	contig_103_pilon;contig_103_pilon	105940;106142	106020;106384	-;-	324	0	0	0	0	0	1
g27	contig_103_pilon	106884	107402	+	519	9693	3658	4889	6024	7194	5400
g28	contig_103_pilon;contig_103_pilon	109299;109712	109580;110350	+;+	921	12769	4535	6109	6330	7373	5993
g29	contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon	111806;111806;111806;112008;112008;112008;112307;112307;112307;112520;112520;112520;112732;112732;112732;112972;112972;112972;113198;113198;113198;113578;113578;113578;113958;113958;113958;114334;114334;114334;114510;114510;114747;114747;114747;115006;115006;115006;115414;115449;115449;115679	111894;111894;111894;112116;112116;112116;112387;112387;112387;112532;112532;112532;112796;112796;112796;113064;113064;113064;113279;113279;113279;113723;113723;113723;114054;114054;114059;114376;114376;114605;114605;114605;114795;114795;114795;115074;115074;115074;115627;115568;115568;115716	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1422	1576	1048	804	560	237	486
g30	contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon	134638;134638;135310;135310;135714;135714;135925;135925;136413;136651;136907;137368;137663;138321;138838;139269	134773;134773;135442;135442;135785;135785;136072;136068;136484;136710;137004;137505;138004;138715;138933;139487	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1909	1377	1862	1910	706	445	666
g31	contig_103_pilon	148018	148284	-	267	0	0	0	0	0	0
g32	contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon	151717;152609;153631;153985;154258;154492;154664;154897;155205	152124;152794;153715;154134;154334;154531;154721;154966;155729	+;+;+;+;+;+;+;+;+	1599	773	3478	2852	1413	987	1425
g33	contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon	155891;157335;157686;158231;158756;159063;159300;159854;160241;160833;161166;161455;161630;161957;162447;162808	156076;157604;157905;158318;158813;159080;159606;159972;160301;160929;161206;161500;161724;162060;162494;162870	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1821	2514	3369	3427	6010	4558	5144
g34	contig_103_pilon;contig_103_pilon	165908;166292	166244;166371	-;-	417	0	0	9	58	23	28
g35	contig_103_pilon	166872	168461	+	1590	211	236	252	367	230	183
g36	contig_103_pilon;contig_103_pilon;contig_103_pilon	169545;170817;171597	170120;171535;171681	-;-;-	1380	538	625	1031	2374	2205	3100
g37	contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon	173996;173996;174219;174219;174484;174484;174739;174739;175059;175059;175356;175356;175677;175677;176173;176173;176485;177162;177734;178292	174120;174120;174334;174334;174563;174563;174864;174864;175139;175139;175542;175542;175741;175741;176400;176437;176591;177586;177795;178485	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1833	1204	1372	1494	213	204	472
g38	contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon	179711;179720;181453;181453	179840;179840;181658;181658	+;+;+;+	336	67	11	49	101	23	47
g39	contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon	182619;182619;183500;183500;183701;183701;184012;184012;184181;184181;184456;184456;184858;184858;185302;185302;185511;185511;185710;185710;185964;185964;186176;186176;186332;186332;186777;186777;187014;187014;187263;187263;187626;187626;188061;188061;188314;188314;188604;188604;188847;188852;189061;189083;189322;189322	182805;182805;183551;183551;183760;183760;184036;184036;184266;184266;184567;184567;184920;184920;185321;185321;185608;185608;185738;185738;185995;185995;186223;186223;186392;186392;186874;186874;187109;187109;187360;187360;187735;187735;188147;188147;188420;188420;188698;188698;188891;188891;189174;189174;189374;189374	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1776	2778	2606	2355	5651	4122	2452
g40	contig_103_pilon;contig_103_pilon;contig_103_pilon	189849;190592;191541	190082;191293;192392	-;-;-	1788	570	699	556	317	161	633
g41	contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon	194040;194862;195300;195635;195901;196318;196614;196699;197004	194089;194987;195454;195722;196118;196478;196621;196805;197128	+;+;+;+;+;+;+;+;+	1038	350	433	404	261	185	333
g42	contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon	200516;200899;201355;201633;201863	200530;201167;201573;201726;201925	-;-;-;-;-	660	27	20	27	106	25	88
g43	contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon	202334;203125;203399;203585;203829;205238;205634;206004;206376;206795;207390;207924;208134;208414;208736	203066;203218;203424;203773;204235;205372;205804;206282;206560;206848;207642;207995;208203;208602;208842	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2964	2480	2034	2412	2248	1736	3425
g44	contig_103_pilon;contig_103_pilon	209106;210391	209305;210673	+;+	483	0	1	0	0	0	0
g45	contig_103_pilon	211754	212071	-	318	0	0	0	0	0	0
g46	contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon	213666;213889;214416;216610;216889;217217;217659;218030;218925;219328;219602;219906;220200;220392;220687;221010;221317;221638;221808;222022;222287;222547;222796;223018;223329;223524;223810;224035;224397;224720;225385;225594	213734;214239;216215;216792;217102;217548;217896;218421;219197;219450;219679;220082;220292;220502;220875;221201;221508;221694;221882;222138;222411;222586;222846;223202;223422;223697;223905;224289;224603;225086;225527;225668	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	7068	576	1070	910	340	245	643
g47	contig_103_pilon	225567	226205	+	639	0	0	0	0	0	0
g48	contig_103_pilon;contig_103_pilon	225701;226046	225921;226118	-;-	294	0	0	0	0	0	0
g49	contig_103_pilon	229540	230298	+	759	1202	797	1244	846	646	1276
g50	contig_103_pilon	230654	231697	-	1044	29	308	237	29	58	13
g51	contig_103_pilon	234608	235018	-	411	4	9	8	34	31	17
g52	contig_103_pilon	235350	235712	-	363	0	0	1	0	0	3
g53	contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon	236056;236286;236533;237225;237512;237824;238216;238572;238913;239441;239867;240238;240639;240988;241363;241937;242243;242468;242823;243287;243512;243843;244106;244564;244843;245025;245490;245737;246051;246275;246607;247268;247559;247961;248190;248675;249042;249239;249620;249875;250166;250626;250856;251287;251645;252177;252585;252964;253339;253804;254092;254607;255231;255735	236090;236366;236800;237293;237571;237919;238376;238669;239130;239527;240001;240360;240722;241152;241539;242050;242347;242586;242967;243381;243617;243922;244282;244648;244923;245168;245585;245937;246105;246417;247010;247406;247756;248035;248380;248855;249106;249371;249721;249958;250240;250685;251118;251335;251805;252243;252725;253140;253560;253910;254284;254775;255293;256456	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	7644	965	1179	896	1057	830	1554
g54	contig_103_pilon	257866	258174	-	309	4	11	2	14	9	33
g55	contig_103_pilon	258336	259037	+	702	3559	3	2	464	197	230
g56	contig_103_pilon;contig_103_pilon	260497;260707	260571;260919	-;-	288	11	9	8	21	1	1
g57	contig_103_pilon	260983	261684	+	702	5183	33	31	570	817	1241
g58	contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon	262931;262931;262931;263187;263187;263187;263445;263445;263445;263693;263693;263693;263995;263995;263995;264154;264154;264154;264509;264509;264509;264700;264700;264700;264948;264948;264948;265126;265126;265126;265484;265484;265484;265697;265697;265697;266220;266220;266453	263047;263047;263047;263275;263275;263275;263533;263533;263533;263733;263733;263733;264030;264030;264030;264246;264246;264246;264602;264602;264602;264764;264764;264764;265020;265020;265020;265218;265218;265218;265573;265573;265573;265743;265768;265775;266350;266397;266509	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1194	637	552	661	742	495	522
g59	contig_103_pilon;contig_103_pilon;contig_103_pilon	266138;266327;266610	266260;266447;266737	+;+;+	372	2	3	0	6	6	27
g60	contig_103_pilon	290323	290760	+	438	16	82	57	87	30	28
g61	contig_103_pilon;contig_103_pilon	298820;299014	298889;299165	-;-	222	0	0	0	5	1	0
g62	contig_103_pilon;contig_103_pilon	299235;299612	299509;299822	+;+	486	115	138	227	194	121	95
g63	contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon	300805;303235;303746;303806;303986;304476	303185;303326;303751;303823;304094;304785	+;+;+;+;+;+	2916	1590	2380	2673	2318	1911	2182
g64	contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon	306630;306630;306921;306921;307227;307227;307541;307541;307754;309200	306763;306763;306996;306996;307394;307394;307647;307624;307977;309267	-;-;-;-;-;-;-;-;-;-	777	2103	900	759	1502	2645	2166
g65	contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon	315818;315818;315818;316361;316361;316613;316613;316613;317111;317111;317114;317473;317473;317473;317728;317728;317728;318032;318032;318032;318260;318260;318260	316240;316152;316240;316440;316440;316844;316844;316844;317245;317245;317245;317544;317544;317544;317784;317784;317784;318107;318107;318107;318264;318264;318264	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1080	225	310	281	52	207	127
g66	contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon	319528;320726;321324;321834	320598;321171;321550;322273	-;-;-;-	2184	6230	3655	2949	62	56	694
g67	contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon	323132;323507;324147;324522;325488;326136	323143;323553;324206;324584;325599;326210	+;+;+;+;+;+	369	43	28	15	12	12	35
g68	contig_103_pilon;contig_103_pilon;contig_103_pilon	327540;328213;328723	328115;328319;328798	-;-;-	759	2832	267	1092	3003	1473	1950
g69	contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon	331331;331618;331956;332635;333142	331406;331720;332070;332751;333303	+;+;+;+;+	573	442	3807	5350	315	177	536
g70	contig_103_pilon;contig_103_pilon	334785;338679	334913;338780	-;-	231	2	0	5	5	0	2
g71	contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon	338899;339499;339722;340075;340374;341911;343863	339135;339598;339783;340275;341352;342971;343865	+;+;+;+;+;+;+	2643	883	1439	1676	343	516	852
g72	contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon	347449;349508;349868;350438;350697	348696;349757;350326;350609;351198	-;-;-;-;-	2631	6	2	0	15	0	6
g73	contig_103_pilon;contig_103_pilon	351798;352548	352060;352626	+;+	342	258	215	210	100	40	144
g74	contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon	352665;353301;353792;354152;354334;354559	352830;353524;353872;354211;354396;354594	+;+;+;+;+;+	630	591	586	523	362	264	376
g75	contig_103_pilon;contig_103_pilon;contig_103_pilon	356888;357165;358071	356959;357419;358397	+;+;+	654	1182	495	1003	1438	1162	1345
g76	contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon	360208;360707;361028;361660;361867;362333;362660;362968;363325;363615;363895;364111;364356;364808;365031;365289;365645;365854;366272;366625	360307;360946;361082;361678;361998;362492;362835;363063;363429;363701;363984;364191;364424;364885;365126;365388;365748;365959;366350;366757	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2106	1033	1505	1378	11641	15931	9444
g77	contig_103_pilon;contig_103_pilon;contig_103_pilon	368231;368608;368884	368488;368751;369060	-;-;-	579	544	7904	4952	796	2520	1674
g78	contig_103_pilon;contig_103_pilon	369410;369638	369593;369828	+;+	375	1	8	0	7	6	8
g79	contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon	377834;378616;378929;379310;379740;380059;380504;381012	378253;378804;379024;379377;379827;380460;380594;381055	+;+;+;+;+;+;+;+	1398	927	1195	822	182	74	395
g80	contig_103_pilon	381092	382375	+	1284	1009	1085	1153	393	266	595
g81	contig_103_pilon;contig_103_pilon;contig_103_pilon	384017;385008;386155	384711;386057;386353	-;-;-	1944	5	36	21	6	8	31
g82	contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon	389661;389966;390152;390415;390655;390901;391070;391278;391278;391584;391584;391774;391774;391995;391995;392411;392411;393815;393815	389777;390063;390320;390467;390710;391055;391096;391469;391469;391654;391654;391841;391841;392169;392169;392923;392923;393830;393830	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1710	108	275	187	258	98	112
g83	contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon	393901;393901;394403;394403;394486;394968;394968;395361;395361;396299;396299;396555;396555;396843;396843;396996;396996	394046;394046;394442;394518;394522;395069;395069;395671;395671;396327;396327;396700;396700;396901;396901;397301;397301	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1219	473	336	293	1154	1048	976
g84	contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon	397460;398481;398822;399023;399321;399779;400188;400455;400928;401233;401586;401842;402869	397787;398612;398889;399087;399387;400015;400295;400706;400995;401332;401668;402693;403409	+;+;+;+;+;+;+;+;+;+;+;+;+	2901	643	887	763	589	323	814
g85	contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon	403994;404341;404708;404910;405165;405461;405877;406266;406447	404099;404453;404758;404953;405243;405501;405976;406389;406490	-;-;-;-;-;-;-;-;-	702	438	860	721	352	389	286
g86	contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon	407238;407643;407794;408115;408483;408902;409537;410523;410616;410813	407384;407693;407868;408220;408580;409161;409583;410567;410626;411430	+;+;+;+;+;+;+;+;+;+	1458	900	550	452	289	153	422
g87	contig_103_pilon;contig_103_pilon;contig_103_pilon	412281;412595;412897	412394;412744;413415	-;-;-	783	1073	2079	1492	1240	996	1499
g88	contig_103_pilon;contig_103_pilon;contig_103_pilon	415360;415972;416442	415928;416094;416445	+;+;+	696	23	26	25	38	0	2
g89	contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon	416679;417023;417280;417856;418071;418323;418528;418780;418996;419304;419533;419767;420371;420588;421023;421270;421560;421928;422322	416753;417136;417475;417944;418151;418417;418598;418870;419113;419399;419581;419957;420445;420725;421073;421453;421696;421993;422408	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2004	1361	1036	587	297	94	112
g90	contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon	424500;424753;424804;425099;425099;425517;425517;425806;425806;426197;426197;426617;426617;426881;426881;427612;427612	424760;424957;424957;425313;425313;425674;425674;425993;425993;426449;426449;426765;426765;427081;427081;427931;427931	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1942	2876	4173	2988	5976	2594	6302
g91	contig_103_pilon;contig_103_pilon;contig_103_pilon	430886;431137;431651	431092;431361;432136	+;+;+	918	14911	731	1117	3895	4261	5162
