EDGE	database	loci	loci_gene_sequential	loci_sequential	details
14812	embplant_pt	psaA,psaB	psaB>>psaA	psaB>>psaA	psaB(12-147,embplant_pt)>>psaA(173-307,embplant_pt)
22819	embplant_mt;embplant_pt	rrnL;rrn23	rrn23>>rrnL	rrn23>>rrnL	rrn23(1-304,embplant_pt)>>rrnL(2-313,embplant_mt)
23315	embplant_pt	rps2	rps2	rps2	rps2(30-129,embplant_pt)
25668	embplant_pt	rbcL	rbcL	rbcL	rbcL(5-543,embplant_pt)
25954	embplant_mt;embplant_pt	rrnS;rrn16	rrn16>>rrnS	rrn16>>rrnS	rrn16(1-342,embplant_pt)>>rrnS(7-342,embplant_mt)
26058	embplant_pt	rrn23	rrn23	rrn23	rrn23(122-448,embplant_pt)
26520	embplant_mt;embplant_pt	rrnL;rrn23	rrn23>>rrnL	rrn23>>rrnL	rrn23(1-467,embplant_pt)>>rrnL(2-450,embplant_mt)
26548	embplant_mt;embplant_pt	rrnL;rrn23	rrnL>>rrn23	rrnL>>rrn23	rrnL(12-382,embplant_mt)>>rrn23(27-447,embplant_pt)
26582	embplant_mt;embplant_pt	rrnS;rrn16	rrnS>>rrn16	rrnS>>rrn16	rrnS(1-308,embplant_mt)>>rrn16(50-308,embplant_pt)
26606	embplant_mt;embplant_pt	rrnS;rrn16	rrn16>>rrnS	rrn16>>rrnS	rrn16(1-327,embplant_pt)>>rrnS(1-321,embplant_mt)
26767	embplant_pt	psaA,psaB	psaB>>psaA	psaB>>psaA	psaB(1-799,embplant_pt)>>psaA(825-1103,embplant_pt)
26783	embplant_mt;embplant_pt	rrnS;rrn16	rrn16>>rrnS	rrn16>>rrnS	rrn16(1-857,embplant_pt)>>rrnS(1-856,embplant_mt)
26841	embplant_mt	cox1	cox1>>1329	cox1>>1329	cox1(1067-1281,embplant_mt)>>1329
44183	embplant_pt	atpB	atpB	atpB	atpB(1-239,embplant_pt)
44247	embplant_pt	rrn16	rrn16	rrn16	rrn16(558-759,embplant_pt)
47	embplant_mt;embplant_pt	rrnL;rrn23	rrn23>>rrnL	rrn23>>rrnL	rrn23(14-364,embplant_pt)>>rrnL(15-364,embplant_mt)
